created_date,transaction_id,stage,source,owner
2026-07-11,T10008,closed-won,linkedin,unassigned
2026-07-11,T10009,closed-won,bing,unassigned
2026-07-12,T11000,closed-won,newsletter,unassigned
2026-07-12,T11001,closed-won,google,unassigned
2026-07-12,T11002,closed-won,newsletter,unassigned
2026-07-12,T11003,closed-won,bing,unassigned
2026-07-12,T11004,closed-won,linkedin,unassigned
2026-07-12,T11005,closed-won,google,unassigned
2026-07-12,T11006,closed-won,bing,unassigned
2026-07-12,T11007,closed-won,google,unassigned
2026-07-12,T11008,closed-won,newsletter,unassigned
2026-07-12,T11009,closed-won,(direct),unassigned
2026-07-13,T12000,closed-won,google,unassigned
2026-07-13,T12001,closed-won,linkedin,unassigned
2026-07-13,T12002,closed-won,google,unassigned
2026-07-13,T12003,closed-won,bing,unassigned
2026-07-13,T12004,closed-won,(direct),unassigned
2026-07-13,T12005,closed-won,(direct),unassigned
2026-07-13,T12006,closed-won,(direct),unassigned
2026-07-13,T12007,closed-won,bing,unassigned
2026-07-14,T13000,closed-won,(direct),unassigned
2026-07-14,T13001,closed-won,linkedin,unassigned
2026-07-14,T13002,closed-won,newsletter,unassigned
2026-07-14,T13003,closed-won,google,unassigned
2026-07-14,T13004,closed-won,newsletter,unassigned
2026-07-14,T13005,closed-won,linkedin,unassigned
2026-07-14,T13006,closed-won,newsletter,unassigned
2026-07-14,T13007,closed-won,newsletter,unassigned
2026-07-15,T14000,closed-won,bing,unassigned
2026-07-15,T14001,closed-won,(direct),unassigned
2026-07-15,T14002,closed-won,newsletter,unassigned
2026-07-15,T14003,closed-won,linkedin,unassigned
2026-07-15,T14004,closed-won,(direct),unassigned
2026-07-15,T14005,closed-won,(direct),unassigned
2026-07-15,T14006,closed-won,linkedin,unassigned
2026-07-15,T14007,closed-won,(direct),unassigned
2026-07-16,T15000,closed-won,google,unassigned
2026-07-16,T15001,closed-won,newsletter,unassigned
2026-07-16,T15002,closed-won,newsletter,unassigned
2026-07-16,T15003,closed-won,linkedin,unassigned
2026-07-16,T15004,closed-won,google,unassigned
2026-07-16,T15005,closed-won,bing,unassigned
2026-07-16,T15006,closed-won,linkedin,unassigned
2026-07-16,T15007,closed-won,google,unassigned
2026-07-16,T15008,closed-won,newsletter,unassigned
2026-07-17,T16000,closed-won,bing,unassigned
2026-07-17,T16001,closed-won,bing,unassigned
2026-07-17,T16002,closed-won,linkedin,unassigned
2026-07-17,T16003,closed-won,bing,unassigned
2026-07-17,T16004,closed-won,(direct),unassigned
2026-07-17,T16005,closed-won,(direct),unassigned
2026-07-17,T16006,closed-won,bing,unassigned
2026-07-17,T16007,closed-won,bing,unassigned
2026-07-17,T16008,closed-won,(direct),unassigned
2026-07-17,T16009,closed-won,(direct),unassigned
2026-07-18,T17000,closed-won,bing,unassigned
2026-07-18,T17001,closed-won,google,unassigned
2026-07-18,T17002,closed-won,google,unassigned
2026-07-18,T17003,closed-won,bing,unassigned
2026-07-18,T17004,closed-won,(direct),unassigned
2026-07-18,T17005,closed-won,google,unassigned
2026-07-18,T17006,closed-won,linkedin,unassigned
2026-07-18,T17007,closed-won,(direct),unassigned
2026-07-18,T17008,closed-won,google,unassigned
2026-07-18,T17009,closed-won,(direct),unassigned
2026-07-19,T18000,closed-won,linkedin,unassigned
2026-07-19,T18001,closed-won,newsletter,unassigned
2026-07-19,T18002,closed-won,newsletter,unassigned
2026-07-19,T18003,closed-won,linkedin,unassigned
2026-07-19,T18004,closed-won,bing,unassigned
2026-07-19,T18005,closed-won,linkedin,unassigned
2026-07-19,T18006,closed-won,linkedin,unassigned
2026-07-19,T18007,closed-won,(direct),unassigned
2026-07-20,T19000,closed-won,(direct),unassigned
2026-07-20,T19001,closed-won,google,unassigned
2026-07-20,T19002,closed-won,(direct),unassigned
2026-07-20,T19003,closed-won,google,unassigned
2026-07-20,T19004,closed-won,(direct),unassigned
2026-07-20,T19005,closed-won,bing,unassigned
2026-07-20,T19006,closed-won,google,unassigned
2026-07-20,T19007,closed-won,google,unassigned
2026-07-21,T20000,closed-won,bing,unassigned
2026-07-21,T20001,closed-won,linkedin,unassigned
2026-07-21,T20002,closed-won,google,unassigned
2026-07-21,T20003,closed-won,(direct),unassigned
2026-07-21,T20004,closed-won,(direct),unassigned
2026-07-21,T20005,closed-won,linkedin,unassigned
2026-07-21,T20006,closed-won,(direct),unassigned
2026-07-21,T20007,closed-won,bing,unassigned
2026-07-22,T21000,closed-won,(direct),unassigned
2026-07-22,T21001,closed-won,bing,unassigned
2026-07-22,T21002,closed-won,bing,unassigned
2026-07-22,T21003,closed-won,newsletter,unassigned
2026-07-22,T21004,closed-won,bing,unassigned
2026-07-22,T21005,closed-won,linkedin,unassigned
2026-07-22,T21006,closed-won,linkedin,unassigned
2026-07-22,T21007,closed-won,bing,unassigned
2026-07-22,T21008,closed-won,newsletter,unassigned
2026-07-23,T22000,closed-won,newsletter,unassigned
2026-07-23,T22001,closed-won,linkedin,unassigned
2026-07-23,T22002,closed-won,google,unassigned
2026-07-23,T22003,closed-won,linkedin,unassigned
2026-07-23,T22004,closed-won,google,unassigned
2026-07-23,T22005,closed-won,(direct),unassigned
2026-07-23,T22006,closed-won,(direct),unassigned
2026-07-23,T22007,closed-won,google,unassigned
2026-07-24,T23000,closed-won,(direct),unassigned
2026-07-24,T23001,closed-won,newsletter,unassigned
2026-07-24,T23002,closed-won,newsletter,unassigned
2026-07-24,T23003,closed-won,newsletter,unassigned
2026-07-24,T23004,closed-won,(direct),unassigned
2026-07-24,T23005,closed-won,bing,unassigned
2026-07-24,T23006,closed-won,linkedin,unassigned
2026-07-25,T24000,closed-won,bing,unassigned
2026-07-25,T24001,closed-won,newsletter,unassigned
2026-07-25,T24002,closed-won,newsletter,unassigned
2026-07-25,T24003,closed-won,newsletter,unassigned
2026-07-25,T24004,closed-won,google,unassigned
2026-07-25,T24005,closed-won,(direct),unassigned
2026-07-25,T24006,closed-won,google,unassigned
2026-07-25,T24007,closed-won,bing,unassigned
2026-07-25,T24008,closed-won,google,unassigned
2026-07-25,T24009,closed-won,(direct),unassigned
2026-07-25,T24010,closed-won,(direct),unassigned
2026-07-26,T25000,closed-won,linkedin,unassigned
2026-07-26,T25001,closed-won,(direct),unassigned
2026-07-26,T25002,closed-won,(direct),unassigned
2026-07-26,T25003,closed-won,(direct),unassigned
2026-07-26,T25004,closed-won,google,unassigned
2026-07-26,T25005,closed-won,bing,unassigned
2026-07-26,T25006,closed-won,(direct),unassigned
2026-07-26,T25007,closed-won,bing,unassigned
2026-07-26,T25008,closed-won,(direct),unassigned
2026-07-27,T26000,closed-won,newsletter,unassigned
2026-07-27,T26001,closed-won,newsletter,unassigned
2026-07-27,T26002,closed-won,linkedin,unassigned
2026-07-27,T26003,closed-won,(direct),unassigned
2026-07-27,T26004,closed-won,google,unassigned
2026-07-27,T26005,closed-won,google,unassigned
2026-07-27,T26006,closed-won,bing,unassigned
2026-07-28,T27000,closed-won,(direct),unassigned
2026-07-28,T27001,closed-won,newsletter,unassigned
2026-07-28,T27002,closed-won,bing,unassigned
2026-07-28,T27003,closed-won,(direct),unassigned
2026-07-28,T27004,closed-won,(direct),unassigned
2026-07-28,T27005,closed-won,google,unassigned
2026-07-28,T27006,closed-won,google,unassigned
