created_date,transaction_id,stage,source,owner
2026-07-18,T16008,closed-won,bing,unassigned
2026-07-18,T16009,closed-won,(direct),unassigned
2026-07-19,T17000,closed-won,linkedin,unassigned
2026-07-19,T17001,closed-won,linkedin,unassigned
2026-07-19,T17002,closed-won,newsletter,unassigned
2026-07-19,T17003,closed-won,(direct),unassigned
2026-07-19,T17004,closed-won,bing,unassigned
2026-07-19,T17005,closed-won,newsletter,unassigned
2026-07-19,T17006,closed-won,linkedin,unassigned
2026-07-19,T17007,closed-won,newsletter,unassigned
2026-07-19,T17008,closed-won,linkedin,unassigned
2026-07-19,T17009,closed-won,bing,unassigned
2026-07-20,T18000,closed-won,newsletter,unassigned
2026-07-20,T18001,closed-won,newsletter,unassigned
2026-07-20,T18002,closed-won,newsletter,unassigned
2026-07-20,T18003,closed-won,(direct),unassigned
2026-07-20,T18004,closed-won,linkedin,unassigned
2026-07-20,T18005,closed-won,bing,unassigned
2026-07-20,T18006,closed-won,(direct),unassigned
2026-07-21,T19000,closed-won,(direct),unassigned
2026-07-21,T19001,closed-won,(direct),unassigned
2026-07-21,T19002,closed-won,(direct),unassigned
2026-07-21,T19003,closed-won,newsletter,unassigned
2026-07-21,T19004,closed-won,(direct),unassigned
2026-07-21,T19005,closed-won,(direct),unassigned
2026-07-21,T19006,closed-won,(direct),unassigned
2026-07-22,T20000,closed-won,linkedin,unassigned
2026-07-22,T20001,closed-won,google,unassigned
2026-07-22,T20002,closed-won,google,unassigned
2026-07-22,T20003,closed-won,google,unassigned
2026-07-22,T20004,closed-won,bing,unassigned
2026-07-22,T20005,closed-won,newsletter,unassigned
2026-07-22,T20006,closed-won,linkedin,unassigned
2026-07-22,T20007,closed-won,google,unassigned
2026-07-22,T20008,closed-won,(direct),unassigned
2026-07-22,T20009,closed-won,bing,unassigned
2026-07-22,T20010,closed-won,newsletter,unassigned
2026-07-23,T21000,closed-won,linkedin,unassigned
2026-07-23,T21001,closed-won,bing,unassigned
2026-07-23,T21002,closed-won,bing,unassigned
2026-07-23,T21003,closed-won,linkedin,unassigned
2026-07-23,T21004,closed-won,google,unassigned
2026-07-23,T21005,closed-won,newsletter,unassigned
2026-07-23,T21006,closed-won,google,unassigned
2026-07-24,T22000,closed-won,newsletter,unassigned
2026-07-24,T22001,closed-won,linkedin,unassigned
2026-07-24,T22002,closed-won,(direct),unassigned
2026-07-24,T22003,closed-won,(direct),unassigned
2026-07-24,T22004,closed-won,bing,unassigned
2026-07-24,T22005,closed-won,google,unassigned
2026-07-24,T22006,closed-won,google,unassigned
2026-07-25,T23000,closed-won,google,unassigned
2026-07-25,T23001,closed-won,bing,unassigned
2026-07-25,T23002,closed-won,google,unassigned
2026-07-25,T23003,closed-won,bing,unassigned
2026-07-25,T23004,closed-won,bing,unassigned
2026-07-25,T23005,closed-won,google,unassigned
2026-07-25,T23006,closed-won,google,unassigned
2026-07-25,T23007,closed-won,(direct),unassigned
2026-07-25,T23008,closed-won,newsletter,unassigned
2026-07-26,T24000,closed-won,(direct),unassigned
2026-07-26,T24001,closed-won,newsletter,unassigned
2026-07-26,T24002,closed-won,newsletter,unassigned
2026-07-26,T24003,closed-won,linkedin,unassigned
2026-07-26,T24004,closed-won,bing,unassigned
2026-07-26,T24005,closed-won,newsletter,unassigned
2026-07-26,T24006,closed-won,bing,unassigned
2026-07-26,T24007,closed-won,linkedin,unassigned
2026-07-26,T24008,closed-won,(direct),unassigned
2026-07-27,T25000,closed-won,linkedin,unassigned
2026-07-27,T25001,closed-won,newsletter,unassigned
2026-07-27,T25002,closed-won,(direct),unassigned
2026-07-27,T25003,closed-won,bing,unassigned
2026-07-27,T25004,closed-won,(direct),unassigned
2026-07-27,T25005,closed-won,newsletter,unassigned
2026-07-27,T25006,closed-won,(direct),unassigned
2026-07-27,T25007,closed-won,google,unassigned
2026-07-28,T26000,closed-won,google,unassigned
2026-07-28,T26001,closed-won,google,unassigned
2026-07-28,T26002,closed-won,newsletter,unassigned
2026-07-28,T26003,closed-won,google,unassigned
2026-07-28,T26004,closed-won,google,unassigned
2026-07-28,T26005,closed-won,(direct),unassigned
2026-07-28,T26006,closed-won,bing,unassigned
2026-07-29,T27000,closed-won,linkedin,unassigned
2026-07-29,T27001,closed-won,linkedin,unassigned
2026-07-29,T27002,closed-won,linkedin,unassigned
2026-07-29,T27003,closed-won,newsletter,unassigned
2026-07-29,T27004,closed-won,linkedin,unassigned
2026-07-29,T27005,closed-won,linkedin,unassigned
2026-07-29,T27006,closed-won,linkedin,unassigned
